Order ID,Date,Customer ID,Company Name,Sales Person,Region,Item,Price,Quantity,Revenue,,,,,,,,,,
89,27-01-2018,8,Company H,Kim Fishman,California,Item 2,199,5,995,,,,,,,,,,
90,27-01-2018,12,Company L,Anne Lee,New Mexico,Item 3,69,2,138,,,,,,,,,,
91,27-01-2018,19,Company S,Andrew James,Arizona,Item 5,289,4,1156,,,,,,,,,,
92,28-01-2018,20,Company T,Oscar Knox,Arizona,Item 1,399,6,2394,,,,,,,,,,
93,29-01-2018,7,Company G,Kim Fishman,California,Item 1,399,1,399,,,,,,,,,,
94,29-01-2018,8,Company H,Kim Fishman,California,Item 2,199,2,398,,,,,,,,,,
95,29-01-2018,7,Company G,Laura Larsen,California,Item 3,69,8,552,,,,,,,,,,
96,30-01-2018,15,Company O,Michael Fox,New Mexico,Item 3,69,9,621,,,,,,,,,,
97,30-01-2018,11,Company K,Anne Lee,New Mexico,Item 3,69,7,483,,,,,,,,,,
98,30-01-2018,19,Company S,Oscar Knox,Arizona,Item 4,159,8,1272,,,,,,,,,,
99,30-01-2018,8,Company H,Laura Larsen,California,Item 2,199,9,1791,,,,,,,,,,
100,30-01-2018,12,Company L,Michael Fox,New Mexico,Item 2,199,5,995,,,,,,,,,,
101,31-01-2018,18,Company R,Oscar Knox,Arizona,Item 3,69,4,276,,,,,,,,,,
102,01-02-2018,10,Company J,Kim Fishman,California,Item 3,69,4,276,,,,,,,,,,
103,01-02-2018,20,Company T,Andrew James,Arizona,Item 3,69,6,414,,,,,,,,,,
104,02-02-2018,4,Company D,Ben Wallace,Texas,Item 1,399,1,399,,,,,,,,,,
105,02-02-2018,11,Company K,Michael Fox,New Mexico,Item 4,159,0,0,,,,,,,,,,
106,02-02-2018,2,Company B,Ben Wallace,Texas,Item 4,159,5,795,,,,,,,,,,
107,02-02-2018,7,Company G,Kim Fishman,California,Item 4,159,5,795,,,,,,,,,,
108,02-02-2018,15,Company O,Anne Lee,New Mexico,Item 1,399,2,798,,,,,,,,,,
109,02-02-2018,20,Company T,Oscar Knox,Arizona,Item 4,159,7,1113,,,,,,,,,,
110,03-02-2018,16,Company P,Oscar Knox,Arizona,Item 2,199,6,1194,,,,,,,,,,
111,03-02-2018,19,Company S,Andrew James,Arizona,Item 1,399,6,2394,,,,,,,,,,
112,04-02-2018,1,Company A,Anna Weber,Texas,Item 1,399,2,798,,,,,,,,,,
113,05-02-2018,17,Company Q,Oscar Knox,Arizona,Item 1,399,5,1995,,,,,,,,,,
114,05-02-2018,9,Company I,Kim Fishman,California,Item 4,159,4,636,,,,,,,,,,
115,05-02-2018,2,Company B,Ben Wallace,Texas,Item 3,69,7,483,,,,,,,,,,
116,05-02-2018,14,Company N,Michael Fox,New Mexico,Item 3,69,7,483,,,,,,,,,,
117,05-02-2018,14,Company N,Michael Fox,New Mexico,Item 1,399,7,2793,,,,,,,,,,
118,06-02-2018,5,Company E,Anna Weber,Texas,Item 5,289,2,578,,,,,,,,,,
119,06-02-2018,5,Company E,Anna Weber,Texas,Item 2,199,2,398,,,,,,,,,,
120,06-02-2018,14,Company N,Michael Fox,New Mexico,Item 4,159,3,477,,,,,,,,,,
121,07-02-2018,15,Company O,Michael Fox,New Mexico,Item 2,199,3,597,,,,,,,,,,
122,08-02-2018,8,Company H,Laura Larsen,California,Item 3,69,6,414,,,,,,,,,,
123,08-02-2018,2,Company B,Anna Weber,Texas,Item 5,289,6,1734,,,,,,,,,,
124,08-02-2018,4,Company D,Ben Wallace,Texas,Item 5,289,7,2023,,,,,,,,,,
125,08-02-2018,10,Company J,Kim Fishman,California,Item 4,159,0,0,,,,,,,,,,
126,08-02-2018,18,Company R,Oscar Knox,Arizona,Item 1,399,4,1596,,,,,,,,,,
127,08-02-2018,8,Company H,Laura Larsen,California,Item 4,159,4,636,,,,,,,,,,
128,09-02-2018,11,Company K,Anne Lee,New Mexico,Item 2,199,0,0,,,,,,,,,,
129,10-02-2018,6,Company F,Kim Fishman,California,Item 2,199,8,1592,,,,,,,,,,
130,11-02-2018,16,Company P,Oscar Knox,Arizona,Item 2,199,0,0,,,,,,,,,,
131,11-02-2018,10,Company J,Kim Fishman,California,Item 1,399,3,1197,,,,,,,,,,
132,11-02-2018,7,Company G,Kim Fishman,California,Item 4,159,9,1431,,,,,,,,,,
133,11-02-2018,12,Company L,Michael Fox,New Mexico,Item 1,399,9,3591,,,,,,,,,,
134,12-02-2018,13,Company M,Michael Fox,New Mexico,Item 4,159,7,1113,,,,,,,,,,
135,12-02-2018,16,Company P,Oscar Knox,Arizona,Item 3,69,5,345,,,,,,,,,,
136,13-02-2018,6,Company F,Laura Larsen,California,Item 2,199,9,1791,,,,,,,,,,
137,13-02-2018,12,Company L,Anne Lee,New Mexico,Item 1,399,3,1197,,,,,,,,,,
138,13-02-2018,14,Company N,Anne Lee,New Mexico,Item 1,399,3,1197,,,,,,,,,,
139,13-02-2018,13,Company M,Michael Fox,New Mexico,Item 3,69,4,276,,,,,,,,,,
140,13-02-2018,15,Company O,Anne Lee,New Mexico,Item 1,399,8,3192,,,,,,,,,,
141,13-02-2018,10,Company J,Kim Fishman,California,Item 4,159,8,1272,,,,,,,,,,
142,13-02-2018,10,Company J,Kim Fishman,California,Item 5,289,4,1156,,,,,,,,,,
143,13-02-2018,7,Company G,Laura Larsen,California,Item 5,289,5,1445,,,,,,,,,,
144,13-02-2018,13,Company M,Anne Lee,New Mexico,Item 4,159,2,318,,,,,,,,,,
145,13-02-2018,6,Company F,Kim Fishman,California,Item 2,199,6,1194,,,,,,,,,,
146,13-02-2018,8,Company H,Laura Larsen,California,Item 2,199,2,398,,,,,,,,,,
147,13-02-2018,13,Company M,Anne Lee,New Mexico,Item 4,159,5,795,,,,,,,,,,
148,13-02-2018,2,Company B,Ben Wallace,Texas,Item 1,399,2,798,,,,,,,,,,
149,13-02-2018,12,Company L,Anne Lee,New Mexico,Item 5,289,8,2312,,,,,,,,,,
150,13-02-2018,8,Company H,Laura Larsen,California,Item 2,199,1,199,,,,,,,,,,
151,13-02-2018,20,Company T,Oscar Knox,Arizona,Item 2,199,8,1592,,,,,,,,,,
152,13-02-2018,12,Company L,Michael Fox,New Mexico,Item 4,159,6,954,,,,,,,,,,
153,13-02-2018,2,Company B,Ben Wallace,Texas,Item 5,289,2,578,,,,,,,,,,
154,14-02-2018,8,Company H,Kim Fishman,California,Item 3,69,8,552,,,,,,,,,,
155,15-02-2018,15,Company O,Michael Fox,New Mexico,Item 2,199,9,1791,,,,,,,,,,
156,15-02-2018,18,Company R,Andrew James,Arizona,Item 4,159,4,636,,,,,,,,,,
157,16-02-2018,13,Company M,Michael Fox,New Mexico,Item 5,289,3,867,,,,,,,,,,
158,16-02-2018,11,Company K,Anne Lee,New Mexico,Item 2,199,4,796,,,,,,,,,,
159,16-02-2018,20,Company T,Oscar Knox,Arizona,Item 4,159,6,954,,,,,,,,,,
160,16-02-2018,1,Company A,Anna Weber,Texas,Item 2,199,9,1791,,,,,,,,,,
161,16-02-2018,8,Company H,Laura Larsen,California,Item 2,199,2,398,,,,,,,,,,
162,16-02-2018,15,Company O,Anne Lee,New Mexico,Item 3,69,5,345,,,,,,,,,,
163,16-02-2018,19,Company S,Oscar Knox,Arizona,Item 5,289,7,2023,,,,,,,,,,
164,17-02-2018,13,Company M,Anne Lee,New Mexico,Item 3,69,1,69,,,,,,,,,,
165,17-02-2018,4,Company D,Anna Weber,Texas,Item 4,159,1,159,,,,,,,,,,
166,18-02-2018,15,Company O,Michael Fox,New Mexico,Item 3,69,0,0,,,,,,,,,,
167,18-02-2018,12,Company L,Anne Lee,New Mexico,Item 3,69,1,69,,,,,,,,,,
168,18-02-2018,7,Company G,Kim Fishman,California,Item 4,159,2,318,,,,,,,,,,
169,18-02-2018,10,Company J,Laura Larsen,California,Item 3,69,4,276,,,,,,,,,,
170,18-02-2018,6,Company F,Laura Larsen,California,Item 3,69,3,207,,,,,,,,,,
171,19-02-2018,8,Company H,Laura Larsen,California,Item 1,399,6,2394,,,,,,,,,,
172,19-02-2018,11,Company K,Michael Fox,New Mexico,Item 3,69,5,345,,,,,,,,,,
173,19-02-2018,2,Company B,Ben Wallace,Texas,Item 1,399,1,399,,,,,,,,,,
174,19-02-2018,6,Company F,Laura Larsen,California,Item 1,399,6,2394,,,,,,,,,,
175,20-02-2018,11,Company K,Michael Fox,New Mexico,Item 5,289,5,1445,,,,,,,,,,
176,21-02-2018,13,Company M,Anne Lee,New Mexico,Item 2,199,6,1194,,,,,,,,,,
177,21-02-2018,8,Company H,Laura Larsen,California,Item 5,289,1,289,,,,,,,,,,
178,21-02-2018,13,Company M,Michael Fox,New Mexico,Item 4,159,1,159,,,,,,,,,,
179,21-02-2018,1,Company A,Anna Weber,Texas,Item 5,289,2,578,,,,,,,,,,
180,21-02-2018,20,Company T,Oscar Knox,Arizona,Item 3,69,3,207,,,,,,,,,,
181,21-02-2018,20,Company T,Andrew James,Arizona,Item 3,69,1,69,,,,,,,,,,
182,21-02-2018,1,Company A,Anna Weber,Texas,Item 4,159,2,318,,,,,,,,,,
183,22-02-2018,10,Company J,Kim Fishman,California,Item 2,199,2,398,,,,,,,,,,
184,23-02-2018,12,Company L,Anne Lee,New Mexico,Item 4,159,7,1113,,,,,,,,,,
185,23-02-2018,4,Company D,Ben Wallace,Texas,Item 1,399,5,1995,,,,,,,,,,
186,23-02-2018,5,Company E,Ben Wallace,Texas,Item 5,289,4,1156,,,,,,,,,,
187,24-02-2018,17,Company Q,Oscar Knox,Arizona,Item 1,399,9,3591,,,,,,,,,,
188,24-02-2018,17,Company Q,Andrew James,Arizona,Item 2,199,6,1194,,,,,,,,,,
189,25-02-2018,20,Company T,Oscar Knox,Arizona,Item 1,399,8,3192,,,,,,,,,,
190,25-02-2018,5,Company E,Anna Weber,Texas,Item 2,199,5,995,,,,,,,,,,
191,25-02-2018,11,Company K,Michael Fox,New Mexico,Item 4,159,4,636,,,,,,,,,,
192,26-02-2018,12,Company L,Anne Lee,New Mexico,Item 1,399,0,0,,,,,,,,,,
193,27-02-2018,9,Company I,Laura Larsen,California,Item 4,159,1,159,,,,,,,,,,
194,27-02-2018,4,Company D,Anna Weber,Texas,Item 2,199,0,0,,,,,,,,,,
195,27-02-2018,15,Company O,Anne Lee,New Mexico,Item 4,159,8,1272,,,,,,,,,,
196,28-02-2018,6,Company F,Laura Larsen,California,Item 5,289,9,2601,,,,,,,,,,
197,01-03-2018,18,Company R,Andrew James,Arizona,Item 3,69,8,552,,,,,,,,,,
198,01-03-2018,18,Company R,Oscar Knox,Arizona,Item 4,159,6,954,,,,,,,,,,
199,02-03-2018,17,Company Q,Andrew James,Arizona,Item 4,159,4,636,,,,,,,,,,
200,03-03-2018,12,Company L,Anne Lee,New Mexico,Item 2,199,4,796,,,,,,,,,,
201,04-03-2018,18,Company R,Oscar Knox,Arizona,Item 5,289,5,1445,,,,,,,,,,
202,05-03-2018,9,Company I,Kim Fishman,California,Item 2,199,0,0,,,,,,,,,,
203,06-03-2018,12,Company L,Michael Fox,New Mexico,Item 5,289,7,2023,,,,,,,,,,
204,07-03-2018,2,Company B,Anna Weber,Texas,Item 2,199,2,398,,,,,,,,,,
205,08-03-2018,19,Company S,Andrew James,Arizona,Item 2,199,5,995,,,,,,,,,,
206,08-03-2018,5,Company E,Ben Wallace,Texas,Item 1,399,6,2394,,,,,,,,,,
207,08-03-2018,18,Company R,Oscar Knox,Arizona,Item 2,199,6,1194,,,,,,,,,,
208,08-03-2018,6,Company F,Kim Fishman,California,Item 2,199,9,1791,,,,,,,,,,
209,08-03-2018,16,Company P,Andrew James,Arizona,Item 4,159,3,477,,,,,,,,,,
210,08-03-2018,14,Company N,Michael Fox,New Mexico,Item 1,399,8,3192,,,,,,,,,,
211,08-03-2018,4,Company D,Ben Wallace,Texas,Item 3,69,4,276,,,,,,,,,,
212,08-03-2018,2,Company B,Anna Weber,Texas,Item 2,199,0,0,,,,,,,,,,
213,09-03-2018,1,Company A,Ben Wallace,Texas,Item 4,159,2,318,,,,,,,,,,
214,10-03-2018,5,Company E,Ben Wallace,Texas,Item 3,69,6,414,,,,,,,,,,
215,11-03-2018,3,Company C,Anna Weber,Texas,Item 2,199,3,597,,,,,,,,,,
216,11-03-2018,18,Company R,Oscar Knox,Arizona,Item 3,69,9,621,,,,,,,,,,
217,11-03-2018,12,Company L,Anne Lee,New Mexico,Item 5,289,4,1156,,,,,,,,,,
218,11-03-2018,8,Company H,Laura Larsen,California,Item 4,159,2,318,,,,,,,,,,
219,11-03-2018,7,Company G,Laura Larsen,California,Item 4,159,1,159,,,,,,,,,,
220,11-03-2018,17,Company Q,Andrew James,Arizona,Item 4,159,2,318,,,,,,,,,,
221,11-03-2018,13,Company M,Michael Fox,New Mexico,Item 4,159,3,477,,,,,,,,,,
222,11-03-2018,4,Company D,Anna Weber,Texas,Item 2,199,8,1592,,,,,,,,,,
223,11-03-2018,10,Company J,Laura Larsen,California,Item 4,159,8,1272,,,,,,,,,,
224,11-03-2018,9,Company I,Kim Fishman,California,Item 1,399,6,2394,,,,,,,,,,
225,11-03-2018,2,Company B,Anna Weber,Texas,Item 1,399,9,3591,,,,,,,,,,
226,12-03-2018,14,Company N,Michael Fox,New Mexico,Item 1,399,1,399,,,,,,,,,,
227,13-03-2018,14,Company N,Michael Fox,New Mexico,Item 1,399,1,399,,,,,,,,,,
228,14-03-2018,1,Company A,Ben Wallace,Texas,Item 5,289,2,578,,,,,,,,,,
229,14-03-2018,17,Company Q,Oscar Knox,Arizona,Item 5,289,8,2312,,,,,,,,,,
230,15-03-2018,3,Company C,Anna Weber,Texas,Item 1,399,6,2394,,,,,,,,,,
231,15-03-2018,19,Company S,Oscar Knox,Arizona,Item 2,199,6,1194,,,,,,,,,,
232,15-03-2018,7,Company G,Laura Larsen,California,Item 1,399,9,3591,,,,,,,,,,
233,15-03-2018,9,Company I,Laura Larsen,California,Item 3,69,8,552,,,,,,,,,,
234,16-03-2018,15,Company O,Anne Lee,New Mexico,Item 2,199,2,398,,,,,,,,,,
235,16-03-2018,2,Company B,Anna Weber,Texas,Item 5,289,3,867,,,,,,,,,,
236,16-03-2018,20,Company T,Andrew James,Arizona,Item 3,69,8,552,,,,,,,,,,
237,16-03-2018,4,Company D,Anna Weber,Texas,Item 3,69,7,483,,,,,,,,,,
238,16-03-2018,7,Company G,Kim Fishman,California,Item 2,199,3,597,,,,,,,,,,
239,16-03-2018,16,Company P,Andrew James,Arizona,Item 1,399,9,3591,,,,,,,,,,
240,16-03-2018,18,Company R,Andrew James,Arizona,Item 2,199,5,995,,,,,,,,,,
241,16-03-2018,4,Company D,Anna Weber,Texas,Item 3,69,5,345,,,,,,,,,,
242,17-03-2018,2,Company B,Anna Weber,Texas,Item 5,289,0,0,,,,,,,,,,
243,17-03-2018,20,Company T,Oscar Knox,Arizona,Item 2,199,4,796,,,,,,,,,,
244,17-03-2018,4,Company D,Anna Weber,Texas,Item 4,159,2,318,,,,,,,,,,
245,18-03-2018,19,Company S,Oscar Knox,Arizona,Item 4,159,0,0,,,,,,,,,,
246,18-03-2018,20,Company T,Oscar Knox,Arizona,Item 5,289,4,1156,,,,,,,,,,
247,18-03-2018,6,Company F,Kim Fishman,California,Item 5,289,2,578,,,,,,,,,,
248,18-03-2018,18,Company R,Andrew James,Arizona,Item 3,69,5,345,,,,,,,,,,
249,18-03-2018,19,Company S,Oscar Knox,Arizona,Item 1,399,3,1197,,,,,,,,,,
250,18-03-2018,8,Company H,Kim Fishman,California,Item 4,159,7,1113,,,,,,,,,,
251,18-03-2018,2,Company B,Ben Wallace,Texas,Item 1,399,9,3591,,,,,,,,,,
252,18-03-2018,14,Company N,Michael Fox,New Mexico,Item 2,199,2,398,,,,,,,,,,
253,18-03-2018,16,Company P,Oscar Knox,Arizona,Item 1,399,5,1995,,,,,,,,,,
254,19-03-2018,6,Company F,Kim Fishman,California,Item 4,159,4,636,,,,,,,,,,
255,19-03-2018,5,Company E,Ben Wallace,Texas,Item 2,199,9,1791,,,,,,,,,,
256,19-03-2018,18,Company R,Oscar Knox,Arizona,Item 4,159,2,318,,,,,,,,,,
257,19-03-2018,2,Company B,Anna Weber,Texas,Item 3,69,8,552,,,,,,,,,,
258,20-03-2018,17,Company Q,Andrew James,Arizona,Item 1,399,5,1995,,,,,,,,,,
259,20-03-2018,16,Company P,Oscar Knox,Arizona,Item 5,289,1,289,,,,,,,,,,
260,20-03-2018,14,Company N,Michael Fox,New Mexico,Item 3,69,9,621,,,,,,,,,,
261,21-03-2018,4,Company D,Anna Weber,Texas,Item 2,199,8,1592,,,,,,,,,,
262,22-03-2018,8,Company H,Laura Larsen,California,Item 4,159,1,159,,,,,,,,,,
263,23-03-2018,7,Company G,Laura Larsen,California,Item 4,159,5,795,,,,,,,,,,
264,24-03-2018,17,Company Q,Andrew James,Arizona,Item 2,199,1,199,,,,,,,,,,
265,24-03-2018,17,Company Q,Oscar Knox,Arizona,Item 5,289,7,2023,,,,,,,,,,
266,25-03-2018,12,Company L,Anne Lee,New Mexico,Item 3,69,4,276,,,,,,,,,,
267,25-03-2018,16,Company P,Oscar Knox,Arizona,Item 2,199,8,1592,,,,,,,,,,
268,25-03-2018,4,Company D,Ben Wallace,Texas,Item 2,199,1,199,,,,,,,,,,
269,25-03-2018,20,Company T,Oscar Knox,Arizona,Item 2,199,6,1194,,,,,,,,,,
270,25-03-2018,14,Company N,Anne Lee,New Mexico,Item 1,399,9,3591,,,,,,,,,,
271,25-03-2018,14,Company N,Michael Fox,New Mexico,Item 2,199,3,597,,,,,,,,,,
272,25-03-2018,15,Company O,Anne Lee,New Mexico,Item 5,289,7,2023,,,,,,,,,,
273,25-03-2018,3,Company C,Ben Wallace,Texas,Item 2,199,9,1791,,,,,,,,,,
274,25-03-2018,7,Company G,Kim Fishman,California,Item 2,199,3,597,,,,,,,,,,
275,25-03-2018,7,Company G,Laura Larsen,California,Item 5,289,0,0,,,,,,,,,,
276,25-03-2018,2,Company B,Anna Weber,Texas,Item 4,159,7,1113,,,,,,,,,,
277,26-03-2018,16,Company P,Oscar Knox,Arizona,Item 5,289,3,867,,,,,,,,,,
278,26-03-2018,6,Company F,Kim Fishman,California,Item 1,399,8,3192,,,,,,,,,,
279,26-03-2018,9,Company I,Kim Fishman,California,Item 3,69,9,621,,,,,,,,,,
280,26-03-2018,16,Company P,Andrew James,Arizona,Item 2,199,1,199,,,,,,,,,,
281,26-03-2018,20,Company T,Andrew James,Arizona,Item 3,69,3,207,,,,,,,,,,
282,27-03-2018,16,Company P,Oscar Knox,Arizona,Item 4,159,6,954,,,,,,,,,,
283,27-03-2018,20,Company T,Andrew James,Arizona,Item 4,159,0,0,,,,,,,,,,
284,27-03-2018,2,Company B,Anna Weber,Texas,Item 4,159,4,636,,,,,,,,,,
285,27-03-2018,11,Company K,Michael Fox,New Mexico,Item 5,289,3,867,,,,,,,,,,
286,27-03-2018,13,Company M,Anne Lee,New Mexico,Item 3,69,6,414,,,,,,,,,,
287,27-03-2018,4,Company D,Anna Weber,Texas,Item 5,289,7,2023,,,,,,,,,,
288,27-03-2018,3,Company C,Ben Wallace,Texas,Item 4,159,2,318,,,,,,,,,,
